Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47u","C_0805_2012Metric",167.550000,-107.400000,90.000000,top
"C2","47u","C_0805_2012Metric",162.550000,-107.400000,90.000000,top
"C3","1n","C_0201_0603Metric",159.850000,-111.400000,0.000000,top
"C4","100n","C_0201_0603Metric",152.650000,-100.000000,90.000000,top
"C5","100n","C_0201_0603Metric",148.950000,-100.000000,90.000000,top
"C6","100n","C_0201_0603Metric",148.550000,-109.100000,-135.000000,top
"C7","100n","C_0201_0603Metric",152.850000,-109.000000,-90.000000,top
"C8","100n","C_0201_0603Metric",144.950000,-104.500000,180.000000,top
"C9","100n","C_0201_0603Metric",144.950000,-105.200000,180.000000,top
"C10","100n","C_0201_0603Metric",155.050000,-104.500000,0.000000,top
"C11","100n","C_0201_0603Metric",155.050000,-103.800000,0.000000,top
"C12","2u2","C_0402_1005Metric",155.050000,-106.700000,0.000000,top
"C13","2u2","C_0402_1005Metric",155.050000,-109.100000,0.000000,top
"C14","2u2","C_0402_1005Metric",155.050000,-107.600000,0.000000,top
"C15","100n","C_0201_0603Metric",159.500000,-99.950000,0.000000,top
"C16","15p","C_0201_0603Metric",140.900000,-99.900000,0.000000,top
"C17","15p","C_0201_0603Metric",141.900000,-104.500000,180.000000,top
"C18","2u2","C_0402_1005Metric",153.500000,-99.800000,90.000000,top
"D1","MBR1020VL_R1_00001","D_SOD-123F",169.350000,-110.500000,0.000000,top
"D2","LTST-C191KGKT","LED_0603_1608Metric",171.150000,-98.100000,-90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",168.350000,-98.700000,-90.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",130.600000,-109.700000,-90.000000,top
"J4","SM03B-SRSS-TB","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",128.300000,-104.500000,-90.000000,top
"L1","SRN2512-2R2M","L_1008_2520Metric",165.050000,-110.500000,180.000000,top
"Q1","DMG1012T-7","SOT-523",157.650000,-110.900000,0.000000,top
"R1","10k","R_0402_1005Metric",149.550000,-110.600000,90.000000,top
"R2","100k","R_0402_1005Metric",169.050000,-108.000000,-90.000000,top
"R3","470R","R_0402_1005Metric",168.250000,-101.800000,-90.000000,top
"R4","NO-FIT","R_0402_1005Metric",155.850000,-99.000000,180.000000,top
"R5","200k","R_0402_1005Metric",160.050000,-110.500000,0.000000,top
"R6","100k","R_0402_1005Metric",155.050000,-110.900000,0.000000,top
"R7","200R","R_0603_1608Metric",159.550000,-108.900000,180.000000,top
"R8","100k","R_0402_1005Metric",169.250000,-101.800000,90.000000,top
"R9","1R","R_0402_1005Metric",155.050000,-110.000000,180.000000,top
"R10","5k6","R_0402_1005Metric",150.450000,-110.600000,-90.000000,top
"R11","1k","R_0402_1005Metric",157.850000,-99.000000,0.000000,top
"R12","27R","R_0201_0603Metric",155.050000,-105.200000,180.000000,top
"R13","27R","R_0201_0603Metric",155.050000,-105.900000,180.000000,top
"R14","1k","R_0402_1005Metric",143.350000,-103.350000,90.000000,top
"R15","NO-FIT","R_0402_1005Metric",144.250000,-102.700000,-90.000000,top
"SW1","PTS810 SJK 250 SMTR LFS","SW_SPST_PTS810",163.950000,-101.000000,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",149.950000,-104.500000,-90.000000,top
"U2","RT6150B-33GQW","DFN-10-1EP_2.6x2.6mm_P0.5mm_EP1.3x2.2mm",165.050000,-107.400000,90.000000,top
"U3","W25Q16JVUXIQ","SON50P300X200X60-9N",156.850000,-100.700000,0.000000,top
"Y1","ECS-120-8-33-JGN-TR","Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm",141.400000,-102.200000,-90.000000,top
