Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,47u,
"C10, C11, C15, C4, C5, C6, C7, C8, C9",0201,9,100n,
"C12, C13, C14, C18",0402,4,2u2,
"C16, C17",0201,2,15p,
C3,0201,1,1n,
D1,D_SOD-123F,1,MBR1020VL_R1_00001,
D2,0603,1,LTST-C191KGKT,
J1,CON_PICO_1-20,1,~,
J2,CON_PICO_21-40,1,~,
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
L1,1008,1,SRN2512-2R2M,
P1,USB_C_Plug_Molex_105444,1,USB_C_Plug_USB2.0,
Q1,SOT-523,1,DMG1012T-7,
R1,0402,1,10k,
R10,0402,1,5k6,
"R11, R14",0402,2,1k,
"R12, R13",0201,2,27R,
"R15, R4",0402,2,NO-FIT,
"R16, R17",0402,2,5k1,
"R2, R6, R8",0402,3,100k,
R3,0402,1,470R,
R5,0402,1,200k,
R7,0603,1,200R,
R9,0402,1,1R,
SW1,SW_SPST_PTS810,1,PTS810 SJK 250 SMTR LFS,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_1.5x1.5mm,9,TestPoint,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,DFN-10-1EP_2.6x2.6mm_P0.5mm_EP1.3x2.2mm,1,RT6150B-33GQW,
U3,SON50P300X200X60-9N,1,W25Q16JVUXIQ,
Y1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,1,ECS-120-8-33-JGN-TR,
