Designator,Mid X,Mid Y,Rotation,Layer
C1,167.55,-107.4,90.0,top
C10,155.05,-104.5,0.0,top
C11,155.05,-103.8,0.0,top
C12,155.05,-106.7,0.0,top
C13,155.05,-109.1,0.0,top
C14,155.05,-107.6,0.0,top
C15,159.5,-99.95,0.0,top
C16,140.9,-99.9,0.0,top
C17,141.9,-104.5,180.0,top
C18,153.5,-99.8,90.0,top
C2,162.55,-107.4,90.0,top
C3,159.85,-111.4,0.0,top
C4,152.65,-100.0,90.0,top
C5,148.95,-100.0,90.0,top
C6,148.55,-109.1,225.0,top
C7,152.85,-109.0,270.0,top
C8,144.95,-104.5,180.0,top
C9,144.95,-105.2,180.0,top
D1,169.35,-110.5,0.0,top
D2,171.15,-98.1,270.0,top
FID1,168.35,-98.7,270.0,top
FID2,130.6,-109.7,270.0,top
J1,150.45,-95.61,270.0,top
J2,150.45,-113.39,270.0,top
J4,128.3,-104.5,270.0,top
L1,165.05,-110.5,180.0,top
P1,178.64,-104.25,270.0,top
Q1,157.65,-110.9,0.0,top
R1,149.55,-110.6,90.0,top
R10,150.45,-110.6,270.0,top
R11,157.85,-99.0,0.0,top
R12,155.05,-105.2,180.0,top
R13,155.05,-105.9,180.0,top
R14,143.35,-103.35,90.0,top
R16,173.51,-102.49,180.0,top
R17,173.0,-107.5,180.0,top
R2,169.05,-108.0,270.0,top
R3,168.25,-101.8,270.0,top
R5,160.05,-110.5,0.0,top
R6,155.05,-110.9,0.0,top
R7,159.55,-108.9,180.0,top
R8,169.25,-101.8,90.0,top
R9,155.05,-110.0,180.0,top
SW1,163.95,-101.0,0.0,top
U1,149.95,-104.5,0.0,top
U2,165.05,-107.4,0.0,top
U3,156.85,-100.7,0.0,top
Y1,141.4,-102.2,270.0,top
